db_id,buyma_product_id,model_no
41142,128389132,A24SS01OS
41146,128389157,A24SC01FP
41148,128389164,A24SS01VO
41150,128389167,A24SS01HM
41151,128389172,A24SV02WP
41166,128389215,A23AC01KW
41176,128389237,A23AC08KM
41190,128389290,A24AB01HG
41421,128264199,FOA407609-BLACKOUT
41457,128264237,FOA408240-LUNAR ROCK
41515,128264412,FOA407634-WHITE
41517,128264453,FOA407635-BLACKOUT
41546,128264594,FOA407633-WHITE
41547,128264586,FOA407632-BLACKOUT
41548,128264581,FOA407632-WHITE
41556,128264591,FOA406943-BLACKOUT
44208,127789189,AMPA12302-M311
45123,127792547,GMPA08940-6855
45487,127793990,GWPA08449-S098
45919,128226087,105461-N04
45926,128226090,105419 029
48023,127877136,MJQ066A 03377 055
48061,127877164,MJP110P 00050 480
48176,127877264,FFD054A 06552 100
48231,127877320,FKC424A Y3007 415
48248,127877344,MAS023B 01690 001
48249,127877346,MAS023B 01690 415
48254,127877349,MTC001A 00626 415
48309,127877430,MTC001A 00626 035
48328,127877456,FKA239A 00219 415
48330,127877460,MKC310A Y3007 415
48355,127877487,MJP110P 00050 680
48540,127877781,MFL105A 06257 415
48809,128220977,PABABA00-541
50185,127883078,1E021O D7C F045 F0F24
50458,127883288,GFP492 16PK F0V3N
50600,127883504,2DE145 F G000 069 F0002
52733,128253047,50546630-421
54203,128397060,FSPRI000
54223,128397066,FSHL-RIB-000
55331,128399612,GMM000024-SNOW
55332,128399613,GLP000001-BLUSH
58199,128219671,FTR450 DE0046 480
58214,128219686,UJK822 WV0088 020
58228,128219702,FTR420 DE0104 402
58241,128219716,HTR821 DE0046 480
58265,128219740,FTR031 DE0046 480
58270,128219748,FTR450 DE0104 402
58330,128219837,FTR031 DE0039 136
58335,128219844,HTR456 DE0039 136
58344,128219858,HTR001 DE0039 136
58360,128219875,FTR456 DE0039 136
58396,128219913,FTR420 DE0046 480
58439,128219981,FTR031 CO0037 001
58440,128219983,FTR031 CO0037 150
58454,128220002,FTR031 DE0031 480
58458,128220008,HTR103 CO0037 001
58460,128220014,HTR103 DE0031 480
58465,128220020,HTR001 CO0037 001
58469,128220025,FTR420 DE0011 480
58471,128220028,HTR001 DE0031 480
58487,128220062,HTR103 DE0028 0555
58489,128220063,UTR440 DE0028 0555
58494,128220068,HTR103 DE0027 448
58518,128220095,HTR001 DE0027 448
58529,128220106,HTR001 DE0001 480
58575,128220166,HSO002 CO0033 168
58577,128220170,HSO002 DE0001 480
58596,128220194,FSO104 DE0001 480
58600,128220204,HTR500 CO0033 168
58603,128220210,FSO104 DE0002 448
58608,128220219,HTR103 CO0033 168
